city,state_id,state_name,lat,lng,zips
Carmel,IN,Indiana,39.9650,-86.1460,46290 46032 46033 46280 46074 46082
Bismarck,ND,North Dakota,46.8143,-100.7694,58505 58504 58501 58503 58507
Fishers,IN,Indiana,39.9588,-85.9659,46038 46040 46256 46037 46085
Lafayette,CO,Colorado,39.9946,-105.0998,80026
Vista,CA,California,33.1896,-117.2386,92084 92083 92081 92085
Boca Raton,FL,Florida,26.3752,-80.1080,33496 33487 33486 33434 33432 33433 33431 33427 33429 33481 33499
St. Augustine,FL,Florida,29.8976,-81.3100,32080 32095 32084
Beaverton,OR,Oregon,45.4779,-122.8168,97225 97003 97005 97007 97006 97008 97075 97076 97077 97079
Goodyear,AZ,Arizona,33.2614,-112.3622,85139 85338 85326 85395
Portsmouth,VA,Virginia,36.8468,-76.3540,23709 23708 23704 23707 23701 23703 23702 23705
Orem,UT,Utah,40.2981,-111.6994,84097 84057 84058 84059
Sunrise,FL,Florida,26.1547,-80.2997,33322 33323 33326 33325 33351 33313 33307 33345
Portsmouth,NH,New Hampshire,43.0580,-70.7826,03801 03802 03803 03804
Arden-Arcade,CA,California,38.6017,-121.3845,95821 95864 95825 95860 95865 95866
Lawrence,KS,Kansas,38.9597,-95.2642,66045 66044 66047 66046 66049
Sandy,UT,Utah,40.5709,-111.8506,84092 84093 84094 84070 84090 84091
Slidell,LA,Louisiana,30.2887,-89.7828,70460 70458 70459 70469
Buckeye,AZ,Arizona,33.4314,-112.6429,85326 85340 85396
Livonia,MI,Michigan,42.3972,-83.3733,48152 48150 48154 48151 48153
Williamsburg,VA,Virginia,37.2693,-76.7076,23185 23188 23187
Suffolk,VA,Virginia,36.6953,-76.6398,23433 23432 23437 23436 23435 23434 23438 23439
Compton,CA,California,33.8930,-118.2274,90220 90221 90222 90223
La Crosse,WI,Wisconsin,43.8241,-91.2268,54603 54601 54602
Edmond,OK,Oklahoma,35.6689,-97.4160,73013 73007 73003 73034
Carson,CA,California,33.8374,-118.2559,90248 90810 90747 90746 90745 90224 90749 90895
San Marcos,CA,California,33.1350,-117.1743,92078 92096 92069 92079
Tracy,CA,California,37.7269,-121.4523,95377 95376 95304
Prescott Valley,AZ,Arizona,34.5980,-112.3185,86327 86315 86314 86312
Middletown,OH,Ohio,39.5033,-84.3659,45044 45005 45042
Fall River,MA,Massachusetts,41.7136,-71.1015,02724 02723 02720 02721 02717 02790 02747 02722
San German,PR,Puerto Rico,18.0827,-67.0460,683
Santa Fe,NM,New Mexico,35.6619,-105.9819,87505 87507 87501 87502 87503 87509
Plantation,FL,Florida,26.1259,-80.2617,33322 33323 33324 33325 33317 33313 33388 33318 33329 33337
Mayaguez,PR,Puerto Rico,18.2003,-67.1397,00682 00680 00681
New Braunfels,TX,Texas,29.6994,-98.1148,78132 78130 78131 78135
Roswell,GA,Georgia,34.0391,-84.3513,30075 30076 30077
Conroe,TX,Texas,30.3238,-95.4824,77384 77301 77303 77304 77305
South Gate,CA,California,33.9447,-118.1926,90280
Santa Monica,CA,California,34.0235,-118.4810,90401 90402 90403 90404 90405 90406 90407 90408 90409 90410 90411
Kirkland,WA,Washington,47.6970,-122.2057,98039 98033 98034 98083
Hoover,AL,Alabama,33.3763,-86.8068,35216 35226 35244 35242 35236 35260
O'Fallon,MO,Missouri,38.7850,-90.7175,63367 63366 63368
Alafaya,FL,Florida,28.5280,-81.1868,32825 32828 32829 32834 32878
Palm Coast,FL,Florida,29.5389,-81.2457,32164 32137 32135 32142 32143
Norwalk,CT,Connecticut,41.1144,-73.4215,06854 06855 06850 06851 06853 06852 06856 06857 06858
Lawton,OK,Oklahoma,34.6175,-98.4202,73503 73505 73501 73507 73502 73506
Chino,CA,California,33.9836,-117.6654,91708 91710
